product_id,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategory_id,subcategory,category_id,category
1,Contoso 512MB MP3 Player E51 Silver,Contoso,Silver,6.62,101.0,MP4&MP3,1,Audio,12.99
2,Contoso 512MB MP3 Player E51 Blue,Contoso,Blue,6.62,101.0,MP4&MP3,1,Audio,12.99
3,Contoso 1G MP3 Player E100 White,Contoso,White,7.4,101.0,MP4&MP3,1,Audio,14.52
4,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,11.0,101.0,MP4&MP3,1,Audio,21.57
5,Contoso 2G MP3 Player E200 Red,Contoso,Red,11.0,101.0,MP4&MP3,1,Audio,21.57
6,Contoso 2G MP3 Player E200 Black,Contoso,Black,11.0,101.0,MP4&MP3,1,Audio,21.57
7,Contoso 2G MP3 Player E200 Blue,Contoso,Blue,11.0,101.0,MP4&MP3,1,Audio,21.57
8,Contoso 4G MP3 Player E400 Silver,Contoso,Silver,30.58,101.0,MP4&MP3,1,Audio,59.99
9,Contoso 4G MP3 Player E400 Black,Contoso,Black,30.58,101.0,MP4&MP3,1,Audio,59.99
10,Contoso 4G MP3 Player E400 Green,Contoso,Green,30.58,101.0,MP4&MP3,1,Audio,59.99
11,Contoso 4G MP3 Player E400 Orange,Contoso,Orange,30.58,101.0,MP4&MP3,1,Audio,59.99
12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,35.72,101.0,MP4&MP3,1,Audio,77.68
13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Black,35.72,101.0,MP4&MP3,1,Audio,77.68
14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Silver,35.72,101.0,MP4&MP3,1,Audio,77.68
15,Contoso 4GB Flash MP3 Player E401 White,Contoso,White,35.72,101.0,MP4&MP3,1,Audio,77.68
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,White,50.56,101.0,MP4&MP3,1,Audio,109.95
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,Red,50.56,101.0,MP4&MP3,1,Audio,109.95
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,Green,50.56,101.0,MP4&MP3,1,Audio,109.95
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,Pink,50.56,101.0,MP4&MP3,1,Audio,109.95
20,Contoso 8GB MP3 Player new model M820 Black,Contoso,Black,61.62,101.0,MP4&MP3,1,Audio,134.0
21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,Blue,61.62,101.0,MP4&MP3,1,Audio,134.0
22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,Yellow,61.62,101.0,MP4&MP3,1,Audio,134.0
23,Contoso 8GB MP3 Player new model M820 White,Contoso,White,61.62,101.0,MP4&MP3,1,Audio,134.0
24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,91.93,101.0,MP4&MP3,1,Audio,199.9
25,Contoso 16GB Mp5 Player M1600 Black,Contoso,Black,91.93,101.0,MP4&MP3,1,Audio,199.9
26,Contoso 16GB Mp5 Player M1600 Green,Contoso,Green,91.93,101.0,MP4&MP3,1,Audio,199.9
27,Contoso 16GB Mp5 Player M1600 White,Contoso,White,91.93,101.0,MP4&MP3,1,Audio,199.9
28,Contoso 16GB Mp5 Player M1600 Red,Contoso,Red,91.93,101.0,MP4&MP3,1,Audio,199.9
